Aaaaaaaaaa1	Bbbbbbbbbb	F	1234 Main St.		Dallas	TX	75001	1112223333	abc@utdallas.edu	1	10/12/2016	2016-10-12 20:31:25Z	2016-10-12 20:31:52Z
Aaaaaaaaaa2	Bbbbbbbbbb	F	1234 Main St.		Dallas	TX	75001	1112223333	abc@utdallas.edu	1	10/12/2016	2016-10-12 20:31:54Z	2016-10-12 20:32:24Z
Aaaaaaaaaa3	bbbbbbbbbb	F	1234 Main St.		Dallas	TX	75001	1112223333	abc@utdallas.edu	1	10/12/2016	2016-10-12 20:32:26Z	2016-10-12 20:32:59Z
Aaaaaaaaaa4	Bbbbbbbbbb	F	1234 Main St.		Dallas	TX	75001	1112223333	abc@utdallas.edu	1	10/12/2016	2016-10-12 20:33:01Z	2016-10-12 20:33:30Z
Aaaaaaaaaa5	Bbbbbbbbbb	F	1234 Main St.		Dallas	TX	75001	1112223333	abc@utdallas.edu	1	10/12/2016	2016-10-12 20:33:32Z	2016-10-12 20:34:02Z
Aaaaaaaaaa6	Bbbbbbbbbb	F	1234 Main St.		Dallas	TX	75001	1112223333	abc@utdallas.edu	1	10/12/2016	2016-10-12 20:34:04Z	2016-10-12 20:34:34Z
Aaaaaaaaaa7	Bbbbbbbbbb	F	1234 Main St.		Dallas	TX	75001	1112223333	abc@utdallas.edu	1	10/12/2016	2016-10-12 20:34:37Z	2016-10-12 20:35:05Z
Aaaaaaaaaa8	Bbbbbbbbbb	F	1234 Main St.		Dallas	TX	75001	1112223333	abc@utdallas.edu	1	10/12/2016	2016-10-12 20:35:07Z	2016-10-12 20:35:35Z
Aaaaaaaaaa9	Bbbbbbbbbb	F	1234 Main St.		Dallas	TX	75001	1112223333	abc@utdallas.edu	1	10/12/2016	2016-10-12 20:35:38Z	2016-10-12 20:36:02Z
Aaaaaaaaaa10	Bbbbbbbbbb	F	1234 Main St.		Dallas	TX	75001	1112223333	abc@utdallas.edu	1	10/12/2016	2016-10-12 20:36:04Z	2016-10-12 20:36:36Z
